checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0 <= x < 200 DM,27,no credits/all paid,business,8318,< 100 DM,>= 7 yrs,2,female:div/dep/mar,none,4,no property,42,none,for free,2,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,6,critical account,radio/tv,1237,100 <= x < 500 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,6,existing paid back,radio/tv,368,no savings,>= 7 yrs,4,male:single,none,4,life insurance,38,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,12,critical account,car (new),2122,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,Good Risk
< 0 DM,24,existing paid back,furniture/equip,2996,no savings,1 <= x < 4 yrs,2,male:mar/wid,none,4,car,20,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,36,existing paid back,furniture/equip,9034,100 <= x < 500 DM,< 1 yr,4,male:single,co-applicant,1,no property,29,none,rent,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,24,critical account,furniture/equip,1585,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,life insurance,40,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,radio/tv,1301,< 100 DM,>= 7 yrs,4,male:mar/wid,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,Good Risk
>= 200 DM,6,critical account,car (new),1323,100 <= x < 500 DM,>= 7 yrs,2,male:divorced,none,4,car,28,none,own,2,skilled,2,yes,yes,Good Risk
< 0 DM,24,existing paid back,car (new),3123,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,life insurance,27,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,36,existing paid back,car (used),5493,< 100 DM,>= 7 yrs,2,male:single,none,4,no property,42,none,for free,1,skilled,2,none,yes,Good Risk
>= 200 DM,9,existing paid back,radio/tv,1126,100 <= x < 500 DM,>= 7 yrs,2,male:divorced,none,4,real estate,49,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,critical account,radio/tv,1216,100 <= x < 500 DM,< 1 yr,4,male:single,none,4,no property,38,bank,own,2,skilled,2,none,yes,Bad Risk
< 0 DM,24,existing paid back,car (new),1207,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,10,existing paid back,car (new),1309,no savings,1 <= x < 4 yrs,4,male:single,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,Bad Risk
>= 200 DM,15,critical account,car (used),2360,500 <= x < 1000 DM,1 <= x < 4 yrs,2,male:single,none,2,car,36,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,15,all paid back here,car (new),6850,100 <= x < 500 DM,unemployed,1,male:single,none,2,life insurance,34,none,own,1,high qual/mgmt,2,yes,yes,Bad Risk
no checking account,24,existing paid back,radio/tv,1413,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,2,life insurance,28,none,own,1,skilled,1,none,yes,Good Risk
no checking account,39,existing paid back,car (used),8588,100 <= x < 500 DM,>= 7 yrs,4,male:single,none,2,car,45,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,car (new),759,< 100 DM,4 <= x < 7 yrs,4,male:single,none,2,real estate,26,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,36,existing paid back,car (used),4686,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,no property,32,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
>= 200 DM,15,existing paid back,business,2687,< 100 DM,4 <= x < 7 yrs,2,male:single,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,12,delay in past,radio/tv,585,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,co-applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,car (new),2255,no savings,< 1 yr,4,male:single,none,1,life insurance,54,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,6,critical account,car (new),609,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,3,life insurance,37,none,own,2,skilled,1,none,no,Good Risk
< 0 DM,6,critical account,car (new),1361,< 100 DM,< 1 yr,2,male:single,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,Good Risk
no checking account,36,critical account,furniture/equip,7127,< 100 DM,< 1 yr,2,female:div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,Bad Risk
< 0 DM,6,existing paid back,car (new),1203,100 <= x < 500 DM,>= 7 yrs,3,male:single,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,6,critical account,radio/tv,700,no savings,>= 7 yrs,4,male:single,none,4,no property,36,none,for free,2,skilled,1,none,yes,Good Risk
no checking account,24,critical account,repairs,5507,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,44,none,for free,2,skilled,1,none,yes,Good Risk
< 0 DM,18,existing paid back,radio/tv,3190,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,48,no credits/all paid,furniture/equip,7119,< 100 DM,1 <= x < 4 yrs,3,male:single,none,4,no property,53,none,for free,2,skilled,2,none,yes,Bad Risk
no checking account,24,existing paid back,car (used),3488,100 <= x < 500 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,radio/tv,1113,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,Good Risk
0 <= x < 200 DM,26,existing paid back,car (used),7966,< 100 DM,< 1 yr,2,male:single,none,3,car,30,none,own,2,skilled,1,none,yes,Good Risk
no checking account,15,critical account,education,1532,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,3,car,31,none,own,1,skilled,1,none,yes,Good Risk
no checking account,4,critical account,radio/tv,1503,< 100 DM,4 <= x < 7 yrs,2,male:single,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,Good Risk
< 0 DM,36,existing paid back,radio/tv,2302,< 100 DM,1 <= x < 4 yrs,4,male:divorced,none,4,car,31,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,6,existing paid back,car (new),662,< 100 DM,< 1 yr,3,male:single,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,education,2273,< 100 DM,4 <= x < 7 yrs,3,male:single,none,1,car,32,none,own,2,skilled,2,none,yes,Good Risk
0 <= x < 200 DM,15,existing paid back,car (new),2631,100 <= x < 500 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,28,none,rent,2,skilled,1,yes,yes,Bad Risk
no checking account,12,delay in past,car (used),1503,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,4,real estate,41,none,rent,1,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,radio/tv,1311,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:mar/wid,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,24,existing paid back,radio/tv,3105,no savings,< 1 yr,4,male:single,none,2,car,25,none,own,2,skilled,1,none,yes,Good Risk
>= 200 DM,21,critical account,education,2319,< 100 DM,< 1 yr,2,male:divorced,none,1,car,33,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,6,existing paid back,car (new),1374,no savings,unemployed,4,female:div/dep/mar,none,3,life insurance,75,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,furniture/equip,3612,< 100 DM,>= 7 yrs,3,female:div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,48,existing paid back,car (new),7763,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,42,bank,for free,1,high qual/mgmt,1,none,yes,Bad Risk
>= 200 DM,18,existing paid back,furniture/equip,3049,< 100 DM,< 1 yr,1,female:div/dep/mar,none,1,life insurance,45,stores,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1534,< 100 DM,< 1 yr,1,male:mar/wid,none,1,real estate,23,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,24,delay in past,car (new),2032,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,60,none,for free,2,skilled,1,yes,yes,Good Risk
< 0 DM,30,existing paid back,furniture/equip,6350,no savings,>= 7 yrs,4,male:single,none,4,life insurance,31,none,own,1,skilled,1,none,yes,Bad Risk
>= 200 DM,18,existing paid back,furniture/equip,2864,< 100 DM,1 <= x < 4 yrs,2,male:single,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,Bad Risk
no checking account,12,critical account,car (new),1255,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,24,delay in past,car (new),1333,< 100 DM,unemployed,4,male:single,none,2,real estate,43,none,for free,2,skilled,2,none,yes,Bad Risk
no checking account,24,critical account,car (new),2022,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,car,37,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,24,existing paid back,radio/tv,1552,< 100 DM,4 <= x < 7 yrs,3,male:single,none,1,car,32,bank,own,1,skilled,2,none,yes,Good Risk
< 0 DM,12,all paid back here,radio/tv,626,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,Bad Risk
no checking account,48,critical account,car (used),8858,no savings,4 <= x < 7 yrs,2,male:single,none,1,no property,35,none,for free,2,skilled,1,yes,yes,Good Risk
no checking account,12,critical account,repairs,996,no savings,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,real estate,23,none,own,2,skilled,1,none,yes,Good Risk
no checking account,6,all paid back here,radio/tv,1750,500 <= x < 1000 DM,>= 7 yrs,2,male:single,none,4,life insurance,45,bank,own,1,unskilled resident,2,none,yes,Good Risk
< 0 DM,48,existing paid back,radio/tv,6999,< 100 DM,4 <= x < 7 yrs,1,male:mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,12,critical account,car (new),1995,100 <= x < 500 DM,< 1 yr,4,male:single,none,1,car,27,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,education,1199,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,life insurance,67,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1331,< 100 DM,< 1 yr,2,male:single,none,1,car,22,stores,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,18,no credits/all paid,car (new),2278,100 <= x < 500 DM,< 1 yr,3,female:div/dep/mar,none,3,car,28,none,own,2,skilled,1,none,yes,Bad Risk
no checking account,21,no credits/all paid,car (new),5003,no savings,1 <= x < 4 yrs,1,female:div/dep/mar,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,Bad Risk
< 0 DM,24,all paid back here,furniture/equip,3552,< 100 DM,4 <= x < 7 yrs,3,male:single,none,4,car,27,bank,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,18,critical account,furniture/equip,1928,< 100 DM,< 1 yr,2,male:single,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,car (used),2964,no savings,>= 7 yrs,4,male:single,none,4,no property,49,bank,for free,1,skilled,2,yes,yes,Good Risk
< 0 DM,24,all paid back here,radio/tv,1546,< 100 DM,4 <= x < 7 yrs,4,male:single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,Bad Risk
>= 200 DM,6,delay in past,radio/tv,683,< 100 DM,< 1 yr,2,female:div/dep/mar,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,car (new),12389,no savings,1 <= x < 4 yrs,1,male:single,none,4,no property,37,none,for free,1,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,24,delay in past,business,4712,no savings,1 <= x < 4 yrs,4,male:single,none,2,life insurance,37,bank,own,2,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,24,delay in past,radio/tv,1553,100 <= x < 500 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,car (new),1372,< 100 DM,4 <= x < 7 yrs,2,male:divorced,none,3,car,36,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,24,critical account,radio/tv,2578,>= 1000 DM,>= 7 yrs,2,male:single,none,2,car,34,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,radio/tv,3979,no savings,4 <= x < 7 yrs,4,male:single,none,1,car,41,none,own,2,skilled,2,yes,yes,Good Risk
< 0 DM,48,existing paid back,radio/tv,6758,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,2,car,31,none,own,1,skilled,1,yes,yes,Bad Risk
< 0 DM,24,existing paid back,furniture/equip,3234,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,Bad Risk
no checking account,30,critical account,radio/tv,5954,< 100 DM,4 <= x < 7 yrs,3,male:single,co-applicant,2,car,38,none,own,1,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,car (used),5433,no savings,unemployed,2,female:div/dep/mar,none,4,life insurance,26,none,rent,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,15,existing paid back,business,806,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,life insurance,22,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,radio/tv,1082,< 100 DM,>= 7 yrs,4,male:single,none,4,car,27,none,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,15,critical account,furniture/equip,2788,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,co-applicant,3,car,24,bank,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,2930,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,Good Risk
no checking account,24,critical account,education,1927,no savings,1 <= x < 4 yrs,3,female:div/dep/mar,none,2,car,33,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,36,critical account,car (new),2820,< 100 DM,< 1 yr,4,male:divorced,none,4,car,27,none,own,2,skilled,1,none,yes,Bad Risk
no checking account,24,existing paid back,retraining,937,< 100 DM,< 1 yr,4,male:mar/wid,none,3,car,27,none,own,2,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,18,critical account,car (new),1056,< 100 DM,>= 7 yrs,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,12,critical account,car (new),3124,< 100 DM,< 1 yr,1,male:single,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,Good Risk
no checking account,9,existing paid back,furniture/equip,1388,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,real estate,26,none,rent,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,repairs,2384,< 100 DM,< 1 yr,4,male:single,none,1,no property,33,none,rent,1,unskilled resident,1,none,yes,Bad Risk
no checking account,12,existing paid back,car (new),2133,no savings,>= 7 yrs,4,female:div/dep/mar,none,4,no property,52,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,2039,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,9,critical account,car (new),2799,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,1289,< 100 DM,1 <= x < 4 yrs,4,male:single,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,18,existing paid back,domestic appliances,1217,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,Bad Risk
< 0 DM,12,critical account,furniture/equip,2246,< 100 DM,>= 7 yrs,3,male:single,none,3,life insurance,60,none,own,2,skilled,1,none,yes,Bad Risk
< 0 DM,12,critical account,radio/tv,385,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,Good Risk
0 <= x < 200 DM,24,delay in past,car (new),1965,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,car,42,none,rent,2,skilled,1,yes,yes,Good Risk
no checking account,21,existing paid back,business,1572,>= 1000 DM,>= 7 yrs,4,female:div/dep/mar,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,car (new),2718,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,Bad Risk
< 0 DM,24,all paid back here,others,1358,no savings,>= 7 yrs,4,male:single,none,3,car,40,stores,own,1,high qual/mgmt,1,yes,yes,Bad Risk
0 <= x < 200 DM,6,all paid back here,car (new),931,100 <= x < 500 DM,< 1 yr,1,female:div/dep/mar,none,1,life insurance,32,stores,own,1,unskilled resident,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,car (new),1442,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,car,23,none,rent,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,24,no credits/all paid,business,4241,< 100 DM,1 <= x < 4 yrs,1,male:single,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,Bad Risk
no checking account,18,critical account,car (new),2775,< 100 DM,4 <= x < 7 yrs,2,male:single,none,2,life insurance,31,bank,own,2,skilled,1,none,yes,Bad Risk
no checking account,24,delay in past,business,3863,< 100 DM,1 <= x < 4 yrs,1,male:single,none,2,no property,32,none,for free,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,7,existing paid back,radio/tv,2329,< 100 DM,< 1 yr,1,female:div/dep/mar,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,furniture/equip,918,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,1,life insurance,30,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,24,all paid back here,education,1837,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,4,no property,34,bank,for free,1,unskilled resident,1,none,yes,Bad Risk
no checking account,36,existing paid back,furniture/equip,3349,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,car,28,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
>= 200 DM,10,existing paid back,furniture/equip,1275,< 100 DM,< 1 yr,4,female:div/dep/mar,none,2,life insurance,23,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,24,all paid back here,furniture/equip,2828,500 <= x < 1000 DM,1 <= x < 4 yrs,4,male:single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,Good Risk
no checking account,24,critical account,business,4526,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,real estate,74,none,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,radio/tv,2671,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,co-applicant,4,no property,50,none,for free,1,skilled,1,none,yes,Bad Risk
no checking account,18,existing paid back,radio/tv,2051,< 100 DM,< 1 yr,4,male:single,none,1,real estate,33,none,own,1,skilled,1,none,yes,Good Risk
no checking account,15,existing paid back,car (used),1300,no savings,>= 7 yrs,4,male:single,none,4,no property,45,bank,for free,1,skilled,2,none,yes,Good Risk
< 0 DM,12,existing paid back,domestic appliances,741,100 <= x < 500 DM,unemployed,4,female:div/dep/mar,none,3,life insurance,22,none,own,1,skilled,1,none,yes,Bad Risk
>= 200 DM,10,existing paid back,car (new),1240,100 <= x < 500 DM,>= 7 yrs,1,female:div/dep/mar,none,4,no property,48,none,for free,1,unskilled resident,2,none,yes,Bad Risk
< 0 DM,21,existing paid back,radio/tv,3357,>= 1000 DM,< 1 yr,4,female:div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,Good Risk
< 0 DM,24,all paid back here,car (used),3632,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,Good Risk
no checking account,18,delay in past,furniture/equip,1808,< 100 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,1,real estate,22,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,48,no credits/all paid,business,12204,no savings,1 <= x < 4 yrs,2,male:single,none,2,car,48,bank,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,60,delay in past,radio/tv,9157,no savings,1 <= x < 4 yrs,2,male:single,none,2,no property,27,none,for free,1,high qual/mgmt,1,none,yes,Good Risk
< 0 DM,6,critical account,car (new),3676,< 100 DM,1 <= x < 4 yrs,1,male:single,none,3,real estate,37,none,rent,3,skilled,2,none,yes,Good Risk
0 <= x < 200 DM,30,existing paid back,furniture/equip,3441,100 <= x < 500 DM,1 <= x < 4 yrs,2,female:div/dep/mar,co-applicant,4,car,21,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,12,existing paid back,car (new),640,< 100 DM,1 <= x < 4 yrs,4,male:divorced,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,21,critical account,business,3652,< 100 DM,4 <= x < 7 yrs,2,male:single,none,3,life insurance,27,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,critical account,car (new),1530,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,Bad Risk
no checking account,48,existing paid back,business,3914,no savings,1 <= x < 4 yrs,4,male:divorced,none,2,real estate,38,bank,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,12,existing paid back,furniture/equip,1858,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,car,22,none,rent,1,skilled,1,none,yes,Good Risk
< 0 DM,18,existing paid back,radio/tv,2600,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,no property,65,none,for free,2,skilled,1,none,yes,Bad Risk
no checking account,15,existing paid back,radio/tv,1979,no savings,>= 7 yrs,4,male:single,none,2,car,35,none,own,1,skilled,1,none,yes,Good Risk
>= 200 DM,6,existing paid back,furniture/equip,2116,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,9,all paid back here,car (new),1437,100 <= x < 500 DM,4 <= x < 7 yrs,2,male:single,none,3,no property,29,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,42,critical account,furniture/equip,4042,500 <= x < 1000 DM,1 <= x < 4 yrs,4,male:single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,9,existing paid back,education,3832,no savings,>= 7 yrs,1,male:single,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,24,existing paid back,radio/tv,3660,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,28,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,18,all paid back here,furniture/equip,1553,< 100 DM,1 <= x < 4 yrs,4,male:single,none,3,car,44,bank,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,15,existing paid back,radio/tv,1444,no savings,< 1 yr,4,male:single,none,1,life insurance,23,none,own,1,skilled,1,none,yes,Good Risk
no checking account,9,existing paid back,furniture/equip,1980,< 100 DM,< 1 yr,2,female:div/dep/mar,co-applicant,2,car,19,none,rent,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,24,existing paid back,car (new),1355,< 100 DM,< 1 yr,3,female:div/dep/mar,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,Bad Risk
no checking account,12,existing paid back,education,1393,< 100 DM,>= 7 yrs,4,male:single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,Good Risk
no checking account,24,existing paid back,radio/tv,1376,500 <= x < 1000 DM,4 <= x < 7 yrs,4,female:div/dep/mar,none,1,car,28,none,own,1,skilled,1,none,yes,Good Risk
no checking account,60,delay in past,radio/tv,15653,< 100 DM,4 <= x < 7 yrs,2,male:single,none,4,car,21,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,12,existing paid back,radio/tv,1493,< 100 DM,< 1 yr,4,female:div/dep/mar,none,3,car,34,none,own,1,skilled,2,none,yes,Good Risk
< 0 DM,42,delay in past,radio/tv,4370,< 100 DM,4 <= x < 7 yrs,3,male:single,none,2,life insurance,26,bank,own,2,skilled,2,yes,yes,Bad Risk
< 0 DM,18,existing paid back,education,750,< 100 DM,unemployed,4,female:div/dep/mar,none,1,real estate,27,none,own,1,unemp/unskilled non-res,1,none,yes,Bad Risk
0 <= x < 200 DM,15,existing paid back,repairs,1308,< 100 DM,>= 7 yrs,4,male:single,none,4,car,38,none,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,15,existing paid back,education,4623,100 <= x < 500 DM,1 <= x < 4 yrs,3,male:single,none,2,life insurance,40,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,24,critical account,radio/tv,1851,< 100 DM,4 <= x < 7 yrs,4,male:mar/wid,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,18,critical account,radio/tv,1880,< 100 DM,4 <= x < 7 yrs,4,male:mar/wid,none,1,life insurance,32,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
no checking account,36,delay in past,business,7980,no savings,< 1 yr,4,male:single,none,4,car,27,none,rent,2,skilled,1,yes,yes,Bad Risk
< 0 DM,30,no credits/all paid,furniture/equip,4583,< 100 DM,1 <= x < 4 yrs,2,male:divorced,guarantor,2,real estate,32,none,own,2,skilled,1,none,yes,Good Risk
no checking account,12,existing paid back,car (new),1386,500 <= x < 1000 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,life insurance,26,none,own,1,skilled,1,none,yes,Bad Risk
>= 200 DM,24,existing paid back,car (new),947,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,no property,38,bank,for free,1,skilled,2,none,yes,Bad Risk
< 0 DM,12,existing paid back,education,684,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,car,40,none,rent,1,unskilled resident,2,none,yes,Bad Risk
< 0 DM,48,existing paid back,education,7476,< 100 DM,4 <= x < 7 yrs,4,male:single,none,1,no property,50,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,furniture/equip,1922,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,life insurance,37,none,own,1,unskilled resident,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,car (new),2303,< 100 DM,>= 7 yrs,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,36,delay in past,car (new),8086,100 <= x < 500 DM,>= 7 yrs,2,male:single,none,4,car,42,none,own,4,high qual/mgmt,1,yes,yes,Bad Risk
